time_s,theta_deg,m1_counts,m2_counts
0.0,0.1792,0,0
0.012,0.184,0,0
0.023,0.185,0,0
0.033,0.1879,0,0
0.043,0.1918,0,0
0.053,0.1931,0,0
0.063,0.1936,0,0
0.073,0.1937,0,0
0.083,0.1962,0,0
0.093,0.1998,0,0
0.103,0.2011,0,0
0.113,0.2015,0,0
0.123,0.2039,0,0
0.133,0.2075,0,0
0.143,0.2087,0,0
0.153,0.2113,0,0
0.163,0.2149,0,0
0.173,0.2171,0,0
0.183,0.2192,0,0
0.193,0.2199,0,0
0.203,0.2223,0,0
0.213,0.2256,0,0
0.223,0.2289,0,0
0.233,0.2321,0,0
0.243,0.2366,0,0
0.253,0.2393,0,0
0.263,0.2402,0,0
0.273,0.2426,0,0
0.284,0.2454,0,0
0.295,0.2522,0,0
0.306,0.258,0,0
0.32,0.2629,0,0
0.33,0.2665,0,0
0.343,0.2718,0,0
0.353,0.2752,0,0
0.363,0.2763,0,0
0.373,0.2821,0,0
0.384,0.286,0,0
0.396,0.2903,0,0
0.406,0.295,0,0
0.42,0.2978,0,0
0.43,0.2984,0,0
0.44,0.3003,0,0
0.45,0.3044,0,0
0.463,0.306,0,0
0.473,0.3129,0,0
0.484,0.3153,0,0
0.496,0.3224,0,0
0.506,0.3265,0,0
0.52,0.3281,0,0
0.53,0.3285,0,0
0.54,0.3332,0,0
0.551,0.3349,0,0
0.563,0.3373,0,0
0.574,0.3438,0,0
0.584,0.346,0,0
0.594,0.3488,0,0
0.604,0.3535,0,0
0.615,0.3571,0,0
0.626,0.3623,0,0
0.637,0.3653,0,0
0.651,0.3665,0,0
0.663,0.3668,0,0
0.674,0.3723,0,0
0.684,0.3757,0,0
0.694,0.3768,0,0
0.704,0.3772,0,0
0.715,0.3792,0,0
0.726,0.3842,0,0
0.737,0.3905,0,0
0.751,0.4008,0,0
0.763,0.4144,0,0
0.774,0.4238,0,0
0.784,0.4321,0,0
0.794,0.442,0,0
0.804,0.4502,0,0
0.816,0.4579,0,0
0.826,0.4686,0,0
0.838,0.4795,0,0
0.851,0.489,0,0
0.864,0.4989,0,0
0.874,0.5068,0,0
0.885,0.5145,0,0
0.897,0.5247,0,0
0.907,0.5317,0,0
0.921,0.5421,0,0
0.931,0.5489,0,0
0.942,0.5577,0,0
0.952,0.5635,0,0
0.964,0.5699,0,0
0.974,0.5768,0,0
0.985,0.5841,0,0
0.995,0.5901,0,0
1.005,0.5972,0,0
1.016,0.6069,0,0
1.027,0.6126,0,0
1.038,0.6179,0,0
1.048,0.623,0,0
1.061,0.6324,0,0
1.072,0.6393,0,0
1.083,0.644,0,0
1.093,0.6488,0,0
1.104,0.6536,0,0
1.115,0.6605,0,0
1.126,0.6653,0,0
1.136,0.6715,0,0
1.146,0.6742,0,0
1.157,0.677,0,0
1.17,0.6819,0,0
1.181,0.6876,0,0
1.194,0.6944,0,0
1.204,0.6995,0,0
1.214,0.7035,0,0
1.224,0.7085,0,0
1.235,0.7147,0,0
1.245,0.7201,0,0
1.255,0.7251,0,0
1.266,0.7306,0,0
1.277,0.7361,0,0
1.288,0.7409,0,0
1.298,0.7459,0,0
1.308,0.7484,0,0
1.318,0.7519,0,0
1.329,0.7565,0,0
1.339,0.7614,0,0
1.349,0.7665,0,0
1.363,0.7727,0,0
1.374,0.7744,0,0
1.384,0.7783,0,0
1.394,0.7829,0,0
1.404,0.7878,0,0
1.414,0.7894,0,0
1.424,0.7926,0,0
1.435,0.7987,0,0
1.447,0.8045,0,0
1.457,0.8105,0,0
1.471,0.8161,0,0
1.481,0.8183,0,0
1.494,0.8228,0,0
1.505,0.8283,0,0
1.516,0.8343,0,0
1.526,0.8382,0,0
1.537,0.8419,0,0
1.547,0.8452,0,0
1.557,0.848,0,0
1.571,0.8515,0,0
1.581,0.8568,0,0
1.594,0.8589,0,0
1.605,0.8639,0,0
1.616,0.8682,0,0
1.627,0.8707,0,0
1.637,0.8757,0,0
1.647,0.8781,0,0
1.657,0.8817,0,0
1.671,0.884,0,0
1.681,0.8867,0,0
1.694,0.8885,0,0
1.705,0.8918,0,0
1.716,0.8971,0,0
1.726,0.8997,0,0
1.737,0.9038,0,0
1.751,0.9072,0,0
1.761,0.9075,0,0
1.772,0.9142,0,0
1.783,0.9165,0,0
1.794,0.9206,0,0
1.805,0.9265,0,0
1.816,0.9288,0,0
1.827,0.9306,0,0
1.837,0.9352,0,0
1.847,0.9376,0,0
1.857,0.9409,0,0
1.867,0.944,0,0
1.877,0.9466,0,0
1.887,0.9474,0,0
1.897,0.9495,0,0
1.907,0.9535,0,0
1.917,0.9563,0,0
1.927,0.9573,0,0
1.938,0.9605,0,0
1.952,0.9628,0,0
1.965,0.9633,0,0
1.976,0.9634,0,0
1.987,0.9634,0,0
1.997,0.9635,0,0
2.008,0.9635,0,0
2.021,0.9635,0,0
2.032,0.9635,0,0
2.042,0.9635,0,4
2.052,0.9635,0,19
2.062,0.9635,0,39
2.073,0.9635,0,74
2.084,0.9572,0,118
2.096,0.929,0,169
2.107,0.875,0,227
2.118,0.8373,0,289
2.13,0.8041,0,359
2.141,0.7623,0,428
2.152,0.7209,0,501
2.165,0.6808,0,593
2.176,0.6527,0,675
2.188,0.61,0,765
2.2,0.587,0,857
2.21,0.5668,0,938
2.221,0.5534,0,1024
2.235,0.5487,0,1140
2.246,0.5575,0,1235
2.257,0.5773,0,1325
2.267,0.5406,0,1414
2.278,0.5466,0,1508
2.291,0.5274,0,1622
2.303,0.5278,0,1725
2.315,0.5304,0,1836
2.326,0.5364,0,1936
2.337,0.5355,0,2029
2.348,0.5068,0,2130
2.359,0.497,0,2230
2.369,0.4945,0,2324
2.381,0.471,0,2433
2.391,0.4492,0,2525
2.403,0.436,0,2632
2.415,0.4176,0,2749
2.426,0.3841,0,2849
2.437,0.352,0,2949
2.448,0.2843,0,3053
2.459,0.22,0,3156
2.469,0.1498,0,3252
2.481,0.0531,0,3362
2.491,0.0787,0,3458
2.503,0.1483,0,3572
2.513,0.2302,0,3667
2.525,0.3324,0,3777
2.535,0.4618,0,3875
2.546,0.6031,0,3981
2.557,0.7247,0,4083
2.57,0.8956,0,4201
2.581,1.0313,0,4307
2.591,1.1933,0,4407
2.603,1.3423,0,4518
2.615,1.5159,0,4636
2.626,1.6802,0,4736
2.638,1.8584,0,4851
2.648,2.0035,0,4953
2.659,2.1435,0,5057
2.67,2.2875,0,5156
2.682,2.4572,0,5269
2.694,2.6157,0,5391
2.705,2.7589,0,5495
2.717,2.8155,0,5611
2.728,3.0213,0,5710
2.738,3.171,0,5808
2.749,3.3161,0,5909
2.759,3.443,0,6010
2.769,3.5521,0,6100
2.779,3.6654,0,6198
2.789,3.7817,0,6293
2.801,3.9146,0,6405
2.811,4.0726,0,6501
2.821,4.17,0,6601
2.831,4.3139,0,6700
2.842,4.4496,0,6797
2.852,4.5977,0,6900
2.862,4.7225,0,6989
2.872,4.8307,0,7087
2.886,4.943,0,7219
2.897,5.0073,0,7325
2.908,5.0658,0,7432
2.918,5.0981,0,7526
2.928,5.2201,0,7626
2.938,5.3358,0,7725
2.95,5.4454,0,7834
2.96,5.5359,0,7933
2.974,5.6573,0,8070
2.985,5.7606,0,8179
2.995,5.8543,0,8267
3.005,5.9594,0,8369
3.016,6.0608,0,8476
3.026,6.1698,0,8572
3.036,6.2747,0,8666
3.047,6.3884,0,8771
3.058,6.4944,0,8874
3.069,6.6433,0,8982
3.082,6.7859,0,9109
3.092,6.8881,0,9206
3.103,7.0011,0,9317
3.113,7.1173,0,9413
3.125,7.2271,0,9526
3.136,7.3414,0,9629
3.147,7.4931,0,9736
3.158,7.6229,0,9840
3.169,7.7824,0,9946
3.182,7.9351,0,10075
3.192,8.0594,0,10173
3.204,8.1987,0,10286
3.214,8.3382,0,10384
3.226,8.4603,0,10497
3.236,8.5829,0,10597
3.247,8.7547,0,10704
3.258,8.9046,0,10807
3.269,9.0723,0,10920
3.281,9.194,0,11032
3.292,9.3249,0,11138
3.303,9.5024,0,11247
3.313,9.6382,0,11345
3.325,9.7507,0,11456
3.336,9.8624,0,11563
3.347,10.0225,0,11670
3.358,10.1518,0,11774
